source_case_id,text_original,text_reviewed,topic,ood_label,topic_valid,bank_request_valid,original_single_issue,reviewed_single_issue,review_action,semantic_duplicate_of,closest_known_intent,reviewer_type,audit_note
"faq_real:001","Số tiền vay tiêu dùng có tài sản bảo đảm tối đa tại Techcombank là bao nhiêu?","Số tiền vay tiêu dùng có tài sản bảo đảm tối đa tại Techcombank là bao nhiêu?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:002","Khoản vay tiêu dùng có tài sản bảo đảm tại Techcombank có được trả trước hạn không?","Khoản vay tiêu dùng có tài sản bảo đảm tại Techcombank có được trả trước hạn không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:003","Quy trình đăng ký vay tiêu dùng có tài sản bảo đảm tại Techcombank gồm những bước nào?","Quy trình đăng ký vay tiêu dùng có tài sản bảo đảm tại Techcombank gồm những bước nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:004","Khi vay mua ô tô tại Techcombank, khách hàng có bắt buộc mua bảo hiểm cho xe không?","Khi vay mua ô tô tại Techcombank, khách hàng có bắt buộc mua bảo hiểm cho xe không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:005","Bảo hiểm cho ô tô đang thế chấp tại Techcombank được tái tục như thế nào?","Bảo hiểm cho ô tô đang thế chấp tại Techcombank được tái tục như thế nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:006","Khi vay mua căn hộ tại Techcombank, tài sản bảo đảm có cần mua bảo hiểm không?","Khi vay mua căn hộ tại Techcombank, tài sản bảo đảm có cần mua bảo hiểm không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:007","Tài khoản thấu chi MyCash của Techcombank là gì?","Tài khoản thấu chi MyCash của Techcombank là gì?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:008","Vốn kinh doanh thường xuyên tại MSB được hiểu là gì?","Vốn kinh doanh thường xuyên tại MSB được hiểu là gì?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:009","Vay kinh doanh theo hạn mức tại MSB là gì?","Vay kinh doanh theo hạn mức tại MSB là gì?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:010","Vay kinh doanh từng lần tại MSB là gì?","Vay kinh doanh từng lần tại MSB là gì?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:011","Thời hạn tối đa của một khoản vay MSB là bao lâu?","Thời hạn tối đa của một khoản vay MSB là bao lâu?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:012","Khách hàng MSB có thể trả nợ trước hạn hay không và có mất phí không?","Khách hàng MSB có thể trả nợ trước hạn hay không và có mất phí không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Quyền trả nợ trước hạn và phí là cùng chính sách trả nợ; chấp nhận một nhu cầu hỗ trợ."
"faq_real:013","Sau khi MSB giải ngân, khách hàng có thể theo dõi khoản vay ở đâu?","Sau khi MSB giải ngân, khách hàng có thể theo dõi khoản vay ở đâu?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:014","MSB có những hình thức cho vay bổ sung vốn lưu động nào?","MSB có những hình thức cho vay bổ sung vốn lưu động nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:015","Ngoài khoản vay không tài sản bảo đảm, doanh nghiệp có thể vay MSB bằng tài sản bảo đảm không?","Ngoài khoản vay không tài sản bảo đảm, doanh nghiệp có thể vay MSB bằng tài sản bảo đảm không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:016","Vay thấu chi bằng sổ tiết kiệm là hình thức vay như thế nào?","Vay thấu chi bằng sổ tiết kiệm là hình thức vay như thế nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:017","Có thể dùng sổ tiết kiệm làm tài sản bảo đảm cho khoản vay thấu chi không?","Có thể dùng sổ tiết kiệm làm tài sản bảo đảm cho khoản vay thấu chi không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:018","Khi vay ngân hàng, khách hàng thường cần chuẩn bị những loại hồ sơ nào?","Khi vay ngân hàng, khách hàng thường cần chuẩn bị những loại hồ sơ nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:019","Vay tín chấp và vay thế chấp khác nhau như thế nào?","Vay tín chấp và vay thế chấp khác nhau như thế nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:020","Điều kiện cơ bản để được ngân hàng xét duyệt khoản vay là gì?","Điều kiện cơ bản để được ngân hàng xét duyệt khoản vay là gì?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:021","Vay tín chấp tại VPBank là gì?","Vay tín chấp tại VPBank là gì?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:022","Vay tín chấp VPBank có cần tài sản thế chấp không?","Vay tín chấp VPBank có cần tài sản thế chấp không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
